# Department/Fixture Compatibility
# Department ID,Department Description,Mandatory Location,Forbidden Location(s)
3098,GENOMMA DRUG,,,,,
3301,SMOKE BUSTERS (CCR),,,,,
3303,FOOT NEEDS (CCR),,,,,
3315,ELASTIC GOODS (CCR),,,,,
3316,SANITARY (CCR),,Z99-01-12-G183666,R40-01-12-G223666,Y40-01-12-G223666,Z40-01-12-G183666,Y99-01-12-G223666,,
3325,INCONTINENCE (CCR),,,,,
3330,EYE/EAR (CCR),,,,,
3351,RX DIAGNOSTICS (CCR),SDE-05-10-WS183684,,
3352,PILLMINDERS(CCR),,,,,
3353,VITAMINS (CCR),Z40-01-12-G183666,,
3364,PEDIATRICS (CCR),,,,,
3365,CONVALESCENCE (CCR),,SDE-05-10-WS183684,BCK-15-21-WS183684,BCK-05-12-WS183684,SDE-11-12-WS184884,,
3366,ANTACID/LAXATIVES (CCR),,,,,
3368,DIET AND SPORTS NUTRITION (CCR),,,,,
3369,FIRST AID/WOUND CARE (CCR),,,,,
3381,MEDICAL/NUTRITIONAL (CCR),,,,,
3382,FEM HYGIENE/PREG/OVULTN (CCR),,,,,
3383,CONDOMS/CONTRACEPTIVES (CCR),,,,,
3436,COUGH/COLD/FLU (CCR),,,,,
3437,ALLERGY (CCR),,,,,
3441,PAIN RELIEF (CCR),Y40-01-12-G223666,,
3442,SLEEP (CCR),Y40-01-12-G223666,,
3546,YOGA,,,,,
